City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
177,Haines Junction,CA,60.7522,-137.5108,35.55,60,90,9.22,overcast clouds
178,Cidreira,BR,-30.1811,-50.2056,68.4,94,100,12.88,light rain
179,Riyadh,SA,24.6877,46.7219,77.14,28,0,9.91,clear sky
180,Puerto Escondido,MX,15.85,-97.0667,86.83,54,20,6.91,few clouds
181,Azul,AR,-36.777,-59.8585,79.65,44,100,5.26,heavy intensity rain
182,Amazar,RU,53.858,120.875,7.43,99,98,2.01,overcast clouds
183,Boli,CN,45.7667,130.5167,21.13,45,20,3.56,few clouds
184,Olafsvik,IS,64.8945,-23.7142,48.43,75,100,30.42,overcast clouds
185,Olinda,BR,-8.0089,-34.8553,82.13,65,75,9.22,broken clouds
186,Plettenberg Bay,ZA,-34.0527,23.3716,59.25,83,2,3.96,clear sky
187,Grindavik,IS,63.8424,-22.4338,55.35,82,100,37.98,moderate rain
188,Khandyga,RU,62.6667,135.6,-18.62,100,34,2.84,scattered clouds
189,Lagoa,PT,39.05,-27.9833,62.19,70,100,22.5,overcast clouds
190,Abu Dhabi,AE,24.4667,54.3667,84.22,71,0,6.91,clear sky
191,Manuk Mangkaw,PH,4.8,119.85,82.81,76,90,6.38,overcast clouds
192,Katsuura,JP,35.1333,140.3,64.42,71,49,18.25,scattered clouds
193,Lovozero,RU,68.005,35.0117,24.96,94,79,8.59,broken clouds
194,Comodoro Rivadavia,AR,-45.8667,-67.5,64.26,52,20,6.91,few clouds
195,Port Lincoln,AU,-34.7333,135.8667,55.54,63,100,25.03,overcast clouds
196,Walvis Bay,NA,-22.9575,14.5053,65.35,72,0,9.22,clear sky
197,Vila Velha,BR,-20.3297,-40.2925,84.15,78,20,20.71,few clouds
198,Tuatapere,NZ,-46.1333,167.6833,46.13,96,74,4.5,broken clouds
199,Neiafu,TO,-18.65,-173.9833,78.4,81,100,18.32,light rain
200,Byron Bay,AU,-28.65,153.6167,71.71,82,99,17.49,overcast clouds
201,Ilulissat,GL,69.2167,-51.1,26.62,74,100,2.3,overcast clouds
202,Tilichiki,RU,60.4667,166.1,18.77,92,100,6.17,overcast clouds
203,Caruray,PH,10.3094,119.0128,80.06,87,98,8.01,overcast clouds
204,Finnsnes,NO,69.2296,17.9811,34.41,99,100,4.14,overcast clouds
205,Waipawa,NZ,-41.4122,175.5153,51.6,90,52,3.6,broken clouds
206,Mahebourg,MU,-20.4081,57.7,72.25,78,20,0.0,few clouds
207,Bonthe,SL,7.5264,-12.505,79.97,79,91,5.68,overcast clouds
208,Port Augusta,AU,-32.5,137.7667,58.46,68,74,20.96,broken clouds
209,Chicama,PE,-7.8447,-79.1469,64.94,55,54,11.12,broken clouds
210,Salalah,OM,17.0151,54.0924,80.69,74,40,3.44,scattered clouds
211,Diffa,NE,13.3154,12.6113,79.63,17,30,8.48,scattered clouds
212,Khabary,RU,53.6259,79.5345,33.75,88,100,17.9,overcast clouds
213,Ust-Nera,RU,64.5667,143.2,-10.3,99,100,2.57,light snow
214,Sao Sebastiao,BR,-23.76,-45.4097,76.17,81,50,3.87,scattered clouds
215,Karratha,AU,-20.7377,116.8463,76.21,44,0,4.92,light rain
216,Umba,RU,66.6871,34.3429,29.21,88,26,5.7,scattered clouds
217,Rocha,UY,-34.4833,-54.3333,72.36,79,100,12.57,overcast clouds
218,Findhorn,GB,57.6572,-3.6085,57.22,80,0,6.91,clear sky
219,Tokur,RU,53.1333,132.9,-7.2,99,38,2.62,scattered clouds
220,Mount Gambier,AU,-37.8333,140.7667,55.31,94,100,10.36,light intensity shower rain
221,Anaconda,US,46.1285,-112.9423,23.14,84,29,2.39,scattered clouds
222,Goshogawara,JP,40.8044,140.4414,46.51,73,82,11.83,broken clouds
223,Upernavik,GL,72.7868,-56.1549,23.4,65,72,3.56,broken clouds
224,Belaya Gora,RU,68.5333,146.4167,-27.38,100,97,0.27,overcast clouds
225,Chake Chake,TZ,-5.2459,39.7666,76.68,80,23,8.84,few clouds
226,Bristol,US,41.8334,-71.1662,52.41,87,100,8.01,overcast clouds
227,Abu Samrah,SY,35.3029,37.1841,63.3,45,0,7.92,clear sky
228,Bara,NG,10.3744,10.7288,81.23,27,22,9.06,few clouds
229,Olga,RU,43.7444,135.2892,24.55,84,5,6.15,clear sky
230,Kruisfontein,ZA,-34.0033,24.7314,60.89,86,0,6.87,clear sky
231,Huangmei,CN,30.1924,116.025,55.4,66,94,5.01,overcast clouds
232,Richards Bay,ZA,-28.783,32.0377,70.39,83,100,16.42,light rain
233,Tiarei,PF,-17.5333,-149.3333,78.82,83,100,1.68,overcast clouds
234,Zamosc,PL,50.7231,23.252,44.65,90,86,4.32,overcast clouds
235,Lasa,IT,46.6166,10.7002,49.08,90,25,4.52,scattered clouds
236,Okakarara,NA,-20.5833,17.4333,75.43,7,0,7.25,clear sky
237,Vostok,RU,46.4856,135.8833,10.62,95,45,4.0,scattered clouds
238,Lorengau,PG,-2.0226,147.2712,80.64,82,99,7.52,overcast clouds
239,Emerald,AU,-23.5333,148.1667,69.35,76,99,10.04,overcast clouds
240,Aklavik,CA,68.2191,-135.0107,8.6,92,75,3.44,broken clouds
241,Moose Factory,CA,51.2585,-80.6094,28.4,86,100,8.05,overcast clouds
242,Saint-Louis,SN,16.3333,-15.0,92.12,9,73,4.61,broken clouds
243,Strezhevoy,RU,60.7333,77.5889,22.62,95,100,2.55,overcast clouds
244,Caravelas,BR,-17.7125,-39.2481,83.48,61,64,11.03,broken clouds
245,Umm Lajj,SA,25.0213,37.2685,80.08,61,0,9.48,clear sky
246,Palu,ID,-0.8917,119.8707,76.35,96,98,1.88,overcast clouds
247,Esperance,AU,-33.8667,121.9,55.87,65,100,7.27,overcast clouds
248,Sao Filipe,CV,14.8961,-24.4956,77.4,74,79,9.42,broken clouds
249,Deer Lake,CA,49.1667,-57.4316,31.86,86,100,5.75,light snow
250,Jieshi,CN,22.8134,115.8257,72.01,86,24,18.63,few clouds
251,Ayagoz,KZ,47.9714,80.4392,29.16,77,44,6.26,scattered clouds
252,Kedrovyy,RU,56.1667,91.8167,32.41,96,100,12.73,snow
253,Bengkulu,ID,-3.8004,102.2655,73.87,96,100,3.27,light rain
254,Nanyamba,TZ,-10.6833,39.8333,69.12,92,1,4.56,clear sky
255,Qui Nhon,VN,13.7667,109.2333,75.27,91,66,7.4,broken clouds
256,Yar-Sale,RU,66.8333,70.8333,-0.45,89,100,9.44,overcast clouds
257,Abu Zabad,SD,12.35,29.25,75.99,18,95,10.56,overcast clouds
258,Jiblah,YE,13.9216,44.1467,60.06,73,7,1.43,light rain
259,Luderitz,NA,-26.6481,15.1594,63.63,74,0,22.88,clear sky
260,Dodola,ET,6.9833,39.1833,53.87,86,78,1.34,broken clouds
261,Port-Gentil,GA,-0.7193,8.7815,80.56,83,75,14.97,thunderstorm
262,College,US,64.8569,-147.8028,19.72,85,75,4.61,broken clouds
263,Sitka,US,57.0531,-135.33,48.09,87,100,12.66,light rain
264,Coffs Harbour,AU,-30.3,153.1333,71.56,78,75,14.97,broken clouds
265,Wahiawa,US,21.5028,-158.0236,74.37,83,40,5.75,scattered clouds
266,Papar,MY,5.7333,115.9333,77.0,91,100,5.12,overcast clouds
267,Kalmar,SE,56.6616,16.3616,46.33,99,100,0.0,mist
268,Vagur,FO,61.4732,-6.8119,49.14,92,85,18.54,overcast clouds
269,Karlskoga,SE,59.3267,14.5239,43.92,97,100,2.46,overcast clouds
270,Santa Marta,CO,11.2408,-74.199,79.9,82,56,3.0,light rain
271,Shache,CN,38.4167,77.2406,40.62,35,94,5.55,overcast clouds
272,Sarangani,PH,5.4033,125.4636,83.26,77,98,18.97,overcast clouds
273,Bereda,ES,43.2686,-7.5406,57.42,94,74,7.16,broken clouds
274,Dicabisagan,PH,17.0818,122.4157,77.86,91,56,4.74,broken clouds
275,Isangel,VU,-19.55,169.2667,76.87,84,7,6.67,light rain
276,Arman,RU,59.7,150.1667,1.22,91,63,7.05,broken clouds
277,Tual,ID,-5.6667,132.75,83.77,74,100,8.84,overcast clouds
278,Greystones,IE,53.1408,-6.0631,59.92,94,66,19.06,broken clouds
279,Soledade,BR,-28.8183,-52.5103,63.91,93,100,13.38,overcast clouds
280,Valparaiso,CL,-33.0393,-71.6273,73.63,62,0,13.8,clear sky
281,Camabatela,AO,-8.1881,15.375,67.86,61,51,2.71,broken clouds
282,Terney,RU,45.0503,136.6092,24.78,83,7,9.08,clear sky
283,Vagay,RU,57.9375,69.0217,32.05,98,100,9.78,snow
284,Nowy Sacz,PL,49.6218,20.6971,45.82,90,5,3.18,clear sky
285,Kaura Namoda,NG,12.5898,6.5779,81.43,20,44,9.17,scattered clouds
286,Cabo San Lucas,MX,22.8909,-109.9124,81.18,65,20,5.75,few clouds
287,Necochea,AR,-38.5473,-58.7368,69.85,70,63,11.43,broken clouds
288,Samarai,PG,-10.6167,150.6667,81.27,79,58,7.94,broken clouds
