"City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed"
"166,Domoni,KM,2021-04-18 00:15:16,-12.2569,44.5319,80.38,77,100,11.68"
"167,Kelso,US,2021-04-18 00:15:17,46.1468,-122.9084,84.0,15,1,3.44"
"168,Egvekinot,RU,2021-04-18 00:13:49,66.3167,-179.1667,28.0,98,100,13.73"
"169,Denizli,TR,2021-04-18 00:15:17,37.8402,29.0698,64.4,52,75,4.61"
"170,Yumen,CN,2021-04-18 00:13:06,40.2833,97.2,51.17,15,98,2.06"
"171,Hithadhoo,MV,2021-04-18 00:13:44,-0.6,73.0833,81.7,62,29,4.41"
"172,Santiago,CL,2021-04-18 00:15:18,-33.4569,-70.6483,64.0,82,0,11.5"
"173,Los Cedrales,PY,2021-04-18 00:15:18,-25.65,-54.7,75.2,78,0,4.61"
"174,Aksarka,RU,2021-04-18 00:15:19,66.5606,67.7975,-12.55,98,56,4.52"
"175,Norman Wells,CA,2021-04-18 00:13:34,65.282,-126.8329,50.0,37,20,6.91"
"176,Poum,NC,2021-04-18 00:13:51,-20.2333,164.0167,80.02,71,62,17.6"
"177,Villazon,BO,2021-04-18 00:15:19,-22.0866,-65.5942,52.88,57,12,10.29"
"178,Soure,BR,2021-04-18 00:15:19,-0.7167,-48.5233,77.45,87,100,8.08"
"179,Touros,BR,2021-04-18 00:13:08,-5.1989,-35.4608,77.0,88,75,3.44"
"180,College,US,2021-04-18 00:10:53,64.8569,-147.8028,53.6,37,1,8.05"
"181,Roma,US,2021-04-18 00:12:08,43.2128,-75.4557,46.4,66,75,3.44"
"182,Fontem,CM,2021-04-18 00:15:20,5.4685,9.8818,67.37,94,100,6.85"
"183,Ketchikan,US,2021-04-18 00:13:36,55.3422,-131.6461,60.8,44,1,6.91"
"184,Ahipara,NZ,2021-04-18 00:13:30,-35.1667,173.1667,62.42,57,86,7.07"
"185,Tyrma,RU,2021-04-18 00:15:21,50.0833,132.1667,41.77,75,91,1.68"
"186,Chokurdakh,RU,2021-04-18 00:13:04,70.6333,147.9167,17.11,86,100,5.21"
"187,Pokhara,NP,2021-04-18 00:15:21,28.2333,83.9833,66.74,31,4,7.76"
"188,Mubi,NG,2021-04-18 00:15:21,10.2676,13.2644,81.63,43,89,6.82"
"189,Kaitangata,NZ,2021-04-18 00:13:58,-46.2817,169.8464,60.01,63,89,5.01"
"190,Lorengau,PG,2021-04-18 00:13:41,-2.0226,147.2712,83.05,71,89,11.03"
"191,Natividade,BR,2021-04-18 00:15:22,-21.0422,-41.9733,67.5,91,89,3.18"
"192,Qaanaaq,GL,2021-04-18 00:12:46,77.484,-69.3632,-0.65,96,100,5.86"
"193,Krasnoye,UA,2021-04-18 00:15:22,49.9145,24.6134,39.0,93,75,1.72"
"194,Pinheiro Machado,BR,2021-04-18 00:15:23,-31.5783,-53.3811,61.0,100,2,11.01"
"195,Mizdah,LY,2021-04-18 00:15:23,31.4451,12.9801,60.51,64,100,9.28"
"196,Chuy,UY,2021-04-18 00:14:12,-33.6971,-53.4616,64.04,90,4,6.53"
"197,Bikin,RU,2021-04-18 00:15:23,46.8161,134.26,46.42,60,1,6.64"
"198,Oschersleben,DE,2021-04-18 00:15:24,52.0333,11.25,46.99,86,97,4.63"
"199,Fairbanks,US,2021-04-18 00:14:26,64.8378,-147.7164,53.6,30,1,9.22"
"200,Labytnangi,RU,2021-04-18 00:15:24,66.6572,66.4183,-9.36,92,16,5.08"
"201,Henties Bay,NA,2021-04-18 00:13:10,-22.116,14.2845,76.42,44,81,11.81"
"202,Dogondoutchi,NE,2021-04-18 00:15:24,13.6393,4.0287,87.28,16,50,6.67"
"203,Kruisfontein,ZA,2021-04-18 00:15:25,-34.0033,24.7314,61.18,30,14,4.32"
"204,Chicama,PE,2021-04-18 00:15:25,-7.8447,-79.1469,66.2,88,75,9.22"
"205,Coahuayana,MX,2021-04-18 00:13:52,18.7333,-103.6833,78.8,29,1,11.5"
"206,Wencheng,CN,2021-04-18 00:15:25,33.0559,113.7978,55.38,51,89,5.26"
"207,Esperance,AU,2021-04-18 00:12:54,-33.8667,121.9,55.4,82,0,10.36"
"208,Ulladulla,AU,2021-04-18 00:14:23,-35.35,150.4667,59.0,82,90,6.91"
"209,Baykit,RU,2021-04-18 00:13:09,61.67,96.37,17.65,92,100,5.68"
"210,Reconquista,AR,2021-04-18 00:15:26,-29.15,-59.65,69.64,84,25,7.18"
"211,Aklavik,CA,2021-04-18 00:12:47,68.2191,-135.0107,48.2,31,20,6.91"
"212,Vezirkopru,TR,2021-04-18 00:15:26,41.1436,35.4547,48.2,87,0,4.61"
"213,Bagdarin,RU,2021-04-18 00:15:27,54.4333,113.6,36.52,38,100,9.95"
"214,Adrar,MR,2021-04-18 00:14:05,20.5022,-10.0711,73.42,20,0,10.78"
"215,Hilo,US,2021-04-18 00:12:26,19.7297,-155.09,80.6,54,1,8.05"
"216,Katsuura,JP,2021-04-18 00:14:53,35.1333,140.3,64.99,45,20,27.63"
"217,Ixtapa,MX,2021-04-18 00:13:17,20.7,-105.2,79.0,65,1,17.27"
"218,Moron,AR,2021-04-18 00:11:32,-34.6534,-58.6198,72.0,89,100,1.99"
"219,Lavrentiya,RU,2021-04-18 00:14:07,65.5833,-171.0,31.96,86,77,9.86"
"220,Batagay-Alyta,RU,2021-04-18 00:14:54,67.8006,130.4114,18.9,91,100,3.06"
"221,Faya,SA,2021-04-18 00:14:25,18.3851,42.4509,57.2,82,20,9.22"
"222,Jaisalmer,IN,2021-04-18 00:15:28,26.9147,70.9181,79.7,37,0,7.58"
"223,Glenwood Springs,US,2021-04-18 00:10:45,39.5505,-107.3248,53.6,63,82,12.37"
"224,Takaka,NZ,2021-04-18 00:15:28,-40.85,172.8,64.0,71,8,4.0"
"225,Abu Zabad,SD,2021-04-18 00:15:28,12.35,29.25,78.33,7,18,9.71"
"226,Tiksi,RU,2021-04-18 00:12:54,71.6872,128.8694,6.96,86,100,11.61"
"227,Grootfontein,NA,2021-04-18 00:15:29,-19.5667,18.1167,59.0,67,80,3.44"
"228,Port-Gentil,GA,2021-04-18 00:15:01,-0.7193,8.7815,77.0,83,90,4.61"
"229,Sur,OM,2021-04-18 00:12:36,22.5667,59.5289,81.43,57,61,3.51"
"230,Sept-Iles,CA,2021-04-18 00:15:29,50.2001,-66.3821,33.8,80,20,6.91"
"231,Deputatskiy,RU,2021-04-18 00:15:30,69.3,139.9,16.86,71,100,19.73"
"232,Balkanabat,TM,2021-04-18 00:15:30,39.5108,54.3671,69.31,34,3,4.92"
"233,Outlook,CA,2021-04-18 00:15:30,51.5001,-107.0513,64.99,14,91,19.57"
"234,Pitimbu,BR,2021-04-18 00:15:30,-7.4706,-34.8086,73.4,100,0,5.75"
"235,Marang,MY,2021-04-18 00:15:31,5.2056,103.2059,77.0,94,20,2.3"
"236,Tiznit,MA,2021-04-18 00:15:31,29.5833,-9.5,61.43,67,0,3.18"
"237,Penzance,GB,2021-04-18 00:15:31,50.1186,-5.5371,46.0,87,100,5.75"
"238,Kinablangan,PH,2021-04-18 00:15:32,7.6947,126.5503,82.58,71,100,1.14"
"239,Barstow,US,2021-04-18 00:12:45,34.8986,-117.0228,75.2,11,1,14.97"
"240,Pedernales,DO,2021-04-18 00:15:32,18.0384,-71.744,80.2,76,12,11.07"
"241,Iqaluit,CA,2021-04-18 00:14:27,63.7506,-68.5145,14.0,79,40,3.44"
"242,Castro,BR,2021-04-18 00:13:08,-24.7911,-50.0119,58.86,93,66,2.84"
"243,Garden City,US,2021-04-18 00:15:33,42.3256,-83.331,54.0,50,75,3.44"
"244,Puerto Escondido,MX,2021-04-18 00:15:33,15.85,-97.0667,82.4,78,20,11.5"
"245,Brae,GB,2021-04-18 00:15:27,60.3964,-1.353,42.8,75,2,20.71"
"246,Erdenet,MN,2021-04-18 00:15:33,49.0333,104.0833,36.66,61,23,6.33"
"247,Mount Isa,AU,2021-04-18 00:14:09,-20.7333,139.5,73.4,33,2,12.66"
"248,Broken Hill,AU,2021-04-18 00:15:34,-31.95,141.4333,59.0,58,0,12.66"
"249,Kuldur,RU,2021-04-18 00:15:34,49.2167,131.6333,45.91,64,68,3.24"
"250,Felanitx,ES,2021-04-18 00:15:34,39.4696,3.1483,44.01,93,20,1.14"
"251,Morondava,MG,2021-04-18 00:13:54,-20.2833,44.2833,69.66,50,0,12.55"
"252,Lagoa,PT,2021-04-18 00:13:32,39.05,-27.9833,60.91,91,36,18.43"
"253,Lompoc,US,2021-04-18 00:12:37,34.6391,-120.4579,57.99,72,1,12.66"
"254,Saint Austell,GB,2021-04-18 00:15:35,50.3383,-4.7658,46.0,70,100,3.44"
"255,Peniche,PT,2021-04-18 00:15:00,39.3558,-9.3811,57.0,91,100,4.45"
"256,Ayan,RU,2021-04-18 00:13:57,56.45,138.1667,25.72,90,97,4.18"
"257,Alpena,US,2021-04-18 00:15:35,45.0617,-83.4327,48.2,66,75,1.28"
"258,Quatre Cocos,MU,2021-04-18 00:14:52,-20.2078,57.7625,77.0,94,75,5.75"
"259,Marzuq,YE,2021-04-18 00:15:36,14.4,46.4667,67.59,44,0,3.4"
"260,Varangaon,IN,2021-04-18 00:15:36,21.0167,75.9,84.76,23,3,3.27"
"261,Gazli,UZ,2021-04-18 00:15:36,40.1333,63.45,62.28,48,24,6.38"
"262,Jardim,BR,2021-04-18 00:15:37,-21.4803,-56.1381,78.06,57,43,2.51"
"263,Xining,CN,2021-04-18 00:15:24,36.6167,101.7667,42.12,42,0,2.64"
"264,Ancud,CL,2021-04-18 00:12:25,-41.8697,-73.8203,53.6,94,100,9.22"
"265,Zhezkazgan,KZ,2021-04-18 00:14:16,47.8043,67.7144,55.09,39,93,6.55"
"266,Zima,RU,2021-04-18 00:15:37,53.9202,102.0442,24.19,59,65,5.91"
"267,Coruripe,BR,2021-04-18 00:15:37,-10.1256,-36.1756,76.77,82,57,6.46"
"268,Vale Da Amoreira,PT,2021-04-18 00:15:38,39.0697,-7.6985,55.99,65,47,1.19"
"269,Provideniya,RU,2021-04-18 00:12:51,64.3833,-173.3,31.89,90,79,6.02"
"270,Adeje,ES,2021-04-18 00:15:38,28.1227,-16.726,68.0,72,20,12.66"
"271,Samana,DO,2021-04-18 00:14:08,19.2056,-69.3369,82.4,74,40,5.75"
"272,Gamboma,CG,2021-04-18 00:13:31,-1.8764,15.8644,73.22,89,98,1.88"
"273,Dong Xoai,VN,2021-04-18 00:15:39,11.5333,106.9167,76.64,83,39,4.54"
"274,Sitka,US,2021-04-18 00:15:23,57.0531,-135.33,53.6,62,75,1.61"
"275,Fishers,US,2021-04-18 00:11:02,39.9556,-86.0139,55.99,62,40,9.22"
"276,Krumovgrad,BG,2021-04-18 00:15:39,41.4667,25.65,45.48,89,62,3.62"
"277,Morant Bay,JM,2021-04-18 00:15:39,17.8815,-76.4093,82.4,69,20,23.02"
"278,Padang,ID,2021-04-18 00:13:01,-0.9492,100.3543,71.6,94,20,2.3"
"279,Baft,IR,2021-04-18 00:15:40,29.234,56.6057,58.12,32,100,5.75"
"280,Singaparna,ID,2021-04-18 00:13:43,-7.3515,108.111,72.99,83,69,1.03"
"281,Nyanza,RW,2021-04-18 00:15:40,-2.3519,29.7509,56.93,94,95,1.59"
"282,Oktyabrskoye,RU,2021-04-18 00:15:40,43.0645,44.7417,50.0,93,100,4.47"
"283,Gairo,IT,2021-04-18 00:15:41,39.8497,9.5047,51.8,58,40,13.8"
"284,Axim,GH,2021-04-18 00:15:03,4.8699,-2.2405,80.6,81,61,7.63"
