"City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description"
"131,Cartagena,CO,10.3997,-75.5144,80.6,74,75,5.75,broken clouds"
"132,Erenhot,CN,43.6475,111.9767,50.94,29,100,20.65,overcast clouds"
"133,Clyde River,CA,70.4692,-68.5914,5.0,85,90,13.8,overcast clouds"
"134,Touros,BR,-5.1989,-35.4608,75.2,94,40,3.44,scattered clouds"
"135,Namibe,AO,-15.1961,12.1522,81.45,68,0,2.62,clear sky"
"136,Uvalde,US,29.3669,-99.767,69.01,32,90,4.61,overcast clouds"
"137,Kondagaon,IN,19.6,81.6667,77.2,40,34,2.04,scattered clouds"
"138,Bengkulu,ID,-3.8004,102.2655,77.29,83,27,3.44,scattered clouds"
"139,Chumikan,RU,54.7183,135.315,31.24,94,100,13.89,light snow"
"140,Yorosso,ML,12.3536,-4.7761,85.55,15,98,6.62,overcast clouds"
"141,Hambantota,LK,6.1241,81.1185,73.4,100,20,1.14,few clouds"
"142,Victor Harbor,AU,-35.5667,138.6167,64.99,68,33,1.99,scattered clouds"
"143,Berlevag,NO,70.8578,29.0864,35.26,83,95,16.24,overcast clouds"
"144,Iqaluit,CA,63.7506,-68.5145,17.6,73,75,4.61,broken clouds"
"145,Dalianwan,CN,39.0286,121.695,68.0,24,0,17.9,clear sky"
"146,Charlestown,AU,-32.95,151.6667,69.01,66,0,5.14,clear sky"
"147,Xuddur,SO,4.1213,43.8894,74.88,78,7,8.99,clear sky"
"148,Phangnga,TH,8.4509,98.5298,84.99,89,75,1.14,broken clouds"
"149,Fort Nelson,CA,58.8053,-122.7002,51.8,25,20,3.44,few clouds"
"150,Tigil,RU,57.8,158.6667,33.93,100,97,5.32,overcast clouds"
"151,Inirida,CO,3.8653,-67.9239,73.8,97,100,3.6,overcast clouds"
"152,Victoria,HK,22.2855,114.1577,72.0,69,100,1.01,overcast clouds"
"153,Pocone,BR,-16.2567,-56.6228,80.73,57,76,1.77,broken clouds"
"154,Ramsgate,GB,51.3358,1.4155,45.0,82,0,1.99,clear sky"
"155,Aykhal,RU,66.0,111.5,5.85,78,33,2.62,scattered clouds"
"156,Itoman,JP,26.1247,127.6694,71.6,49,75,14.97,broken clouds"
"157,San Andres,CO,12.5847,-81.7006,82.4,83,75,8.05,broken clouds"
"158,Honiara,SB,-9.4333,159.95,86.7,69,99,4.72,overcast clouds"
"159,Tyumen,RU,57.1522,65.5272,19.4,53,0,6.71,clear sky"
"160,Terekli-Mekteb,RU,44.1671,45.8698,55.83,67,100,4.18,overcast clouds"
"161,Hastings,GB,50.8552,0.5729,43.0,80,0,1.01,clear sky"
"162,Chokurdakh,RU,70.6333,147.9167,10.83,90,66,13.04,broken clouds"
"163,Araucaria,BR,-25.5931,-49.4103,60.8,94,75,8.05,broken clouds"
"164,Nantucket,US,41.2835,-70.0995,48.2,76,75,11.5,broken clouds"
"165,Fort-Shevchenko,KZ,44.5086,50.263,54.18,79,7,9.22,clear sky"
"166,Shar,KZ,49.5886,81.0453,48.07,78,100,15.3,moderate rain"
"167,Butaritari,KI,3.0707,172.7902,83.37,74,95,14.32,overcast clouds"
"168,Alihe,CN,50.5667,123.7167,36.46,38,1,14.54,clear sky"
"169,Trairi,BR,-3.2778,-39.2689,75.47,93,98,6.71,overcast clouds"
"170,Pisco,PE,-13.7,-76.2167,66.2,82,0,17.27,clear sky"
"171,Flinders,AU,-34.5833,150.8552,70.0,55,6,1.01,clear sky"
"172,Charters Towers,AU,-20.1,146.2667,81.81,49,0,14.58,clear sky"
"173,Egvekinot,RU,66.3167,-179.1667,27.79,98,100,12.46,light snow"
"174,Zvishavane,ZW,-20.3267,30.0665,51.12,79,0,1.59,clear sky"
"175,Buraydah,SA,26.326,43.975,69.8,37,0,3.44,clear sky"
"176,Nemuro,JP,43.3236,145.575,44.6,81,75,11.5,broken clouds"
"177,Laguna Beach,US,33.5423,-117.7831,82.4,14,1,11.5,clear sky"
"178,Santa Fe,AR,-31.6333,-60.7,73.99,76,0,4.0,clear sky"
"179,Santa Cruz,BO,-17.8,-63.1667,70.47,92,13,4.21,few clouds"
"180,Fonte Boa,BR,-2.4959,-66.2662,73.62,98,100,1.05,overcast clouds"
"181,Port Hardy,CA,50.6996,-127.4199,66.2,52,1,6.91,clear sky"
"182,Mahebourg,MU,-20.4081,57.7,78.8,83,40,11.5,light rain"
"183,Udachnyy,RU,66.4167,112.4,3.81,87,93,2.77,overcast clouds"
"184,Severo-Kurilsk,RU,50.6789,156.125,35.19,96,100,27.98,moderate rain"
"185,Talnakh,RU,69.4865,88.3972,-9.65,91,56,3.18,broken clouds"
"186,Sur,OM,22.5667,59.5289,80.53,57,100,3.83,overcast clouds"
"187,Eten,PE,-6.9081,-79.8642,71.6,68,0,11.5,clear sky"
"188,La Ronge,CA,55.1001,-105.2842,37.4,28,100,11.5,overcast clouds"
"189,Leh,IN,34.1667,77.5833,28.81,64,100,5.12,overcast clouds"
"190,Camalu,MX,30.85,-116.0667,82.0,7,0,5.99,clear sky"
"191,Nogales,MX,31.3086,-110.9422,75.2,11,1,9.22,clear sky"
"192,Belyy Yar,RU,53.6039,91.3903,39.2,56,0,18.52,clear sky"
"193,Mankato,US,44.1636,-93.9994,55.4,50,90,12.66,overcast clouds"
"194,Manaure,CO,11.7751,-72.4445,83.32,63,93,17.16,overcast clouds"
"195,Oksfjord,NO,70.2396,22.3479,35.6,60,92,4.61,overcast clouds"
"196,Wuda,CN,39.4994,106.7117,61.97,9,100,1.03,overcast clouds"
"197,Moose Factory,CA,51.2585,-80.6094,39.2,65,1,10.36,clear sky"
"198,Khatanga,RU,71.9667,102.5,-0.54,94,86,9.15,overcast clouds"
"199,Laguna,US,38.421,-121.4238,89.6,6,1,4.61,clear sky"
"200,Makakilo City,US,21.3469,-158.0858,84.2,42,1,6.91,clear sky"
"201,Salinopolis,BR,-0.6136,-47.3561,77.56,85,100,4.61,overcast clouds"
"202,Buchanan,LR,5.8808,-10.0467,80.71,82,17,7.74,few clouds"
"203,Lebu,CL,-37.6167,-73.65,55.44,86,67,10.02,broken clouds"
"204,Mpanda,TZ,-6.3655,31.0409,63.19,94,87,2.66,overcast clouds"
"205,Nizhneudinsk,RU,54.9076,99.0276,34.84,69,90,10.0,overcast clouds"
"206,San Francisco,US,37.7749,-122.4194,70.0,55,20,24.16,few clouds"
"207,Gornopravdinsk,RU,60.05,69.9,13.59,76,84,7.25,broken clouds"
"208,Kaitangata,NZ,-46.2817,169.8464,64.38,52,27,9.71,scattered clouds"
"209,Lekoni,GA,-1.5843,14.2591,72.79,89,100,3.38,overcast clouds"
"210,Palu,ID,-0.8917,119.8707,84.25,61,100,1.43,moderate rain"
"211,Stavrovo,RU,56.1331,40.013,40.17,88,100,12.8,light rain"
"212,Catamarca,AR,-28.4696,-65.7852,66.0,83,12,1.01,few clouds"
"213,Tabou,CI,4.423,-7.3528,80.38,80,100,5.7,overcast clouds"
"214,Lompoc,US,34.6391,-120.4579,61.0,77,0,12.66,clear sky"
"215,Belur,IN,13.1667,75.8667,69.08,81,39,3.36,scattered clouds"
"216,Carnarvon,AU,-24.8667,113.6333,77.0,64,0,19.01,clear sky"
"217,Liverpool,GB,53.4106,-2.9779,45.0,71,99,2.33,overcast clouds"
"218,Mondlo,ZA,-27.983,30.7177,50.45,65,0,4.61,clear sky"
"219,Klaksvik,FO,62.2266,-6.589,41.0,93,75,8.05,broken clouds"
"220,Mokrous,RU,51.2333,47.5167,50.05,77,100,9.31,overcast clouds"
"221,Kungsbacka,SE,57.4872,12.0761,48.99,42,0,8.05,clear sky"
"222,Alice Springs,AU,-23.7,133.8833,64.4,27,0,12.66,clear sky"
"223,Worland,US,44.0169,-107.9554,62.6,20,20,10.36,few clouds"
"224,Dingle,PH,10.9995,122.6711,81.21,69,100,3.78,heavy intensity rain"
"225,Myingyan,MM,21.4667,95.3833,82.4,69,40,9.22,haze"
"226,Kroonstad,ZA,-27.6504,27.2349,54.84,55,0,4.34,clear sky"
"227,Waipawa,NZ,-41.4122,175.5153,66.2,59,20,16.11,few clouds"
"228,La Union,PE,-5.4,-80.75,76.77,62,30,9.93,scattered clouds"
"229,Dzilam Gonzalez,MX,21.2833,-88.9333,76.93,88,34,2.42,scattered clouds"
"230,East London,ZA,-33.0153,27.9116,74.48,29,0,7.14,clear sky"
"231,Ambilobe,MG,-13.2,49.05,72.25,88,5,3.13,clear sky"
"232,Tiksi,RU,71.6872,128.8694,10.74,82,95,11.68,overcast clouds"
"233,Doha,QA,25.2867,51.5333,80.6,24,0,8.05,clear sky"
"234,Vanimo,PG,-2.6741,141.3028,84.88,65,41,4.07,moderate rain"
"235,Snezhnogorsk,RU,69.1933,33.2531,28.4,93,0,4.47,clear sky"
"236,Wad Madani,SD,14.4012,33.5199,87.49,16,1,10.69,clear sky"
"237,Port Alfred,ZA,-33.5906,26.891,74.53,33,0,9.57,clear sky"
"238,Qinzhou,CN,21.95,108.6167,75.6,87,98,3.27,overcast clouds"
"239,Mar Del Plata,AR,-38.0023,-57.5575,66.99,88,0,5.75,clear sky"
"240,Kruisfontein,ZA,-34.0033,24.7314,66.0,44,6,7.0,clear sky"
"241,Lorengau,PG,-2.0226,147.2712,81.93,77,100,9.86,overcast clouds"
"242,Udon Thani,TH,17.3333,102.8333,77.0,94,75,2.3,broken clouds"
"243,Oktyabrskoye,RU,43.0645,44.7417,48.2,93,100,2.24,overcast clouds"
"244,Comodoro Rivadavia,AR,-45.8667,-67.5,68.0,42,0,6.91,clear sky"
"245,Riberalta,BO,-10.9833,-66.1,73.89,97,53,2.37,broken clouds"
"246,Radcliff,US,37.8404,-85.9491,59.0,47,90,3.44,overcast clouds"
"247,North Ridgeville,US,41.3895,-82.019,53.01,62,90,2.37,overcast clouds"
"248,Kutum,SD,14.2,24.6667,70.2,9,17,3.4,few clouds"
"249,Ramos Arizpe,MX,25.55,-100.9667,53.6,71,40,6.91,scattered clouds"
"250,Bonavista,CA,48.6499,-53.1147,37.4,93,100,3.44,light rain"
"251,Seymchan,RU,62.8833,152.4333,26.85,91,54,1.61,broken clouds"
"252,Tabas,IR,33.5959,56.9244,69.1,22,0,3.62,clear sky"
"253,Kota Kinabalu,MY,5.9749,116.0724,84.2,61,20,10.36,few clouds"
"254,Merrill,US,45.1805,-89.6835,57.2,40,1,4.61,clear sky"
"255,Chimbote,PE,-9.0853,-78.5783,67.42,85,97,7.2,overcast clouds"
"256,Grindavik,IS,63.8424,-22.4338,32.0,74,40,8.05,scattered clouds"
"257,Nanortalik,GL,60.1432,-45.2371,29.16,56,24,8.21,few clouds"
"258,Sullana,PE,-4.9039,-80.6853,78.48,64,100,10.96,light rain"
